.17 HM2,2004,US,1,R,4.4x18.1mm,2100,166,0.158,,0.172,0.125,18.1mm,Rimfire
.17 HMR,2002,US,4,R,4.5x26.9mm,2525,246,0.195,17,0.172,0.125,26.9mm,Rimfire.
.17 Hornet,1950s ,US,2,R,4.37x35.31mmR ,3629,705,0.389,13.2,0.172,,35.31mm,Necked-down .22 Hornet. Watch out for differences between older .17 Ackley Hornet and newer .17 Hornady Hornet. No CIP or SAAMI specs found.
.17 Remington,1971,US,2,R,4.4x45.6mm,4123,952,0.462,27,0.172,0.151,45.6mm,
.17 Remington Fireball,2007,US,1,R,4.4x36.1mm,4037,723,0.358,20.5,0.172,,36.1mm,High-performance approx 4,000 ft/s (1,200 m/s) in a small case.
.17 WSM,2012,US,3,R,4.4x31mm,3000,400,0.267,,0.172,0.230,31mm,Rimfire.
.22 BR Remington,1963,US,,R,5.69x38.15mm,3617,1590,0.879,32.8,0.224,0.415,38.15mm,Wildcat.
.22 Hornet,1930,US,6,R,5.7x35.6mmR,3070,732,0.477,13.0,0.224,0.415,35.6mm,First centerfire cartridge widely adapted for varmint hunting.
.22 Long Rifle,1887,US,6,R,5.7x15.6mmR,1750,137,0.233,5,0.223,,15.6mm,Rimfire. Most common cartridge in the world (by units sold). Black powder propellant charge listed - smokeless likely lower.
.22 PPC,1974,US,,R,5.7x38.5mm,3684,1427,0.775,32.0,0.224,,38.5mm,
.22 Short,1857,US,3,H,5.6x11mmR,1164,87,0.149,4,0.222,,11mm,Rimfire. Oldest commercial cartridge being loaded today. Black powder propellant charge listed - smokeless likely lower.
.22 WMR,1959,US,6,R,5.7x26.8mmR,2200,322,0.293,,0.224,0.095,26.8mm,Rimfire.
.22-250 Remington,1965,US,7,R,5.7x48.6mm,4545,1776,0.798,43.0,0.224,0.264,48.6mm,Varminter.
.25 ACP,1906,US,6,H,6.4x15.6mmR,970,73,0.151,1.8,0.251,0.072,15.6mm,Handgun round, popular for small size and weight.
.25 WSSM,2004,US,1,R,6.5x42.4mm,3762,2581,1.372,52.0,0.257,0.418,42.4mm,Winchester Super Short Magnum
.25-06 Remington,1969,US,5,R,6.54x63.35mm,3350,2513,1.5,62.0,0.257,0.391,63.35mm,Necked-down 30-06.
.25-20 Winchester,1895,US,2,R,6.6x32.8mmR,2101,675,0.643,15,0.257,0.418,32.8mm,.32-20 Winchester case necked down.
.26 Nosler,2013,US,5,R,6.5x65.8mm,3400,3171,,,0.264,,65.8mm,
.28 Nosler,2014,US,2,R,7x65.8mm,3300,3883,,,0.284,,65.78mm,
.30 Carbine,1940,US,6,R,7.62x33mm,2000,977,0.977,16.0,0.308,,33mm,M1 Carbine US service rifle
.30 Herrett,1973,US,,H,7.8mm,2270,1470,1.295,27.0,0.308,,,Wildcat handgun cartridge, based on a shortened .30-30 Winchester.
.30 Nosler,2016,US,2,R,7.62x64.9mm,3200,4092,,,0.308,,64.9mm,
.30 Remington AR,2008,US,1,R,7.849x38.86mm ,3076,2208,1.436,40.0,0.308,,38.86mm,"Billed as ""The worlds only 30-caliber big-game cartridge for the light weight AR-15 platform."""
.30-06 Springfield,1906,US,8,R,7.62x63mm,3080,3178,2.064,62.5,0.308,0.480,63mm,Developed for the U.S. Army's M1903 Springfield rifles prior to WWI. Continued use in the M1 Garand rifle throughout WWII.
.30-30 Winchester,1895,US,6,R,7.8x51.8mmR,2500,2046,1.637,39,0.308,0.330,51.8mm,a.k.a. .30 Winchester Centerfire and .30 WCF. First smokeless cartridge designed for big game hunting.
.30-40 Krag,1892,US,2,R,7.8x58.8mmR,2898,2766,1.909,51,0.308,0.730,58.8mm,Rimmed cartridge.
.30-378 Weatherby Magnum,1959,US,,R,7.83x73.99mm,3690,4956,2.686,123.5,0.308,0.730,73.99mm,Belted. Necked-down 378 Weatherby Magnum, developed for 1000-yard performance. Was military-only from 1959 to 1996.
.32 ACP,1899,Belgium,6,H,7.65x17mm,937,129,0.275,3,0.312,0.090,17mm,.32 Automatic Colt Pistol. a.k.a. .7.65mm Browning.
.32 H&R Magnum,1984,US,2,H,7.9x27.3mmR,1150,235,0.409,12.0,0.314,,27.3mm,Lengthened .32 S&W Long.
.32 NAA,2002,US,1,H,7.95x17.3mm,1000,178,0.356,5.4,0.311,,17.3mm,North American Arms
.32 rimfire,1861,US,,H,8x14.6mm,945,159,,,0.316,,,a.k.a. .32 Short and .32 Long. Introduced in Smith & Wesson's Model 2 revolver.
