Range (yds),Velocity (fps),Energy (ft.-lb),Trajectory (in),Come Up (moa),Come Up (mils),Wind Drift (in),Wind Drift (moa),Wind Drift (mils)
0,3130,1196,-1.5,0,0,0,0,0
50,3041,1129,-0.3,0.5,0.2,0,0,0
100,2953,1065,0,0,0,0,0,0
150,2868,1004,-0.7,0.5,0.1,0,0,0
200,2784,946,-2.5,1.2,0.3,0,0,0
250,2701,891,-5.4,2.1,0.6,0,0,0
300,2621,839,-9.5,3,0.9,0,0,0
350,2541,789,-14.8,4,1.2,0,0,0
400,2463,741,-21.5,5.1,1.5,0,0,0
450,2387,696,-29.7,6.3,1.8,0,0,0
500,2311,652,-39.3,7.5,2.2,0,0,0
550,2237,611,-50.6,8.8,2.6,0,0,0
600,2165,572,-63.6,10.1,2.9,0,0,0
650,2093,535,-78.5,11.5,3.4,0,0,0
700,2023,500,-95.4,13,3.8,0,0,0
750,1955,467,-114.4,14.6,4.2,0,0,0
800,1888,435,-135.6,16.2,4.7,0,0,0
850,1822,405,-159.4,17.9,5.2,0,0,0
900,1758,377,-185.7,19.7,5.7,0,0,0
950,1696,351,-214.8,21.6,6.3,0,0,0
1000,1635,327,-247,23.6,6.9,0,0,0
1050,1577,304,-282.4,25.7,7.5,0,0,0
1100,1520,282,-321.3,27.9,8.1,0,0,0
1150,1466,262,-364,30.2,8.8,0,0,0
1200,1413,244,-410.7,32.7,9.5,0,0,0
1250,1363,227,-461.9,35.3,10.3,0,0,0
